state,x,y
Acre,-425,125
Alagoas,319,106
Amapa,-8,357
Amazonas,-296, 226
Bahia,188,54
Ceara,246,223
Distrito Federal,84,-32
Espirito Santo,243,-111
Goias,11,-62
Maranhao,113,223
Mato Grosso,-126,39
Mato Grosso Do Sul,-95,-124
Minas Gerais,121,-82
Para,-65,223
Paraiba,337,166
Parana,-20,-224
Pernambuco,325,129
Piaui,167,147
Rio De Janeiro,182,-180
Rio Grande Do Norte,314,196
Rio Grande Do Sul,-59,-328
Rondonia,-270,58
Roraima,-237,385
Santa Catarina,-6,-277
Sao Paulo,27,-162
Sergipe,313,80
Tocantins,49,99
